begin_datetime_utc,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
2021-01-01 07:00,2021-01-01 00:00,29.92,32.91,38.45
2021-01-01 08:00,2021-01-01 01:00,27.48,27.1,38.44
2021-01-01 09:00,2021-01-01 02:00,28.62,27.13,38.44
2021-01-01 10:00,2021-01-01 03:00,33.55,32.14,38.43
2021-01-01 11:00,2021-01-01 04:00,35.36,35.64,38.43
2021-01-01 12:00,2021-01-01 05:00,38.18,36.97,38.43
2021-01-01 13:00,2021-01-01 06:00,46.50,48.28,38.44
2021-01-01 14:00,2021-01-01 07:00,33.79,34.53,38.44
2021-01-01 15:00,2021-01-01 08:00,33.01,32.97,38.43
2021-01-01 16:00,2021-01-01 09:00,33.56,33.87,38.42
2021-01-01 17:00,2021-01-01 10:00,42.19,43.12,38.42
2021-01-01 18:00,2021-01-01 11:00,40.18,42.28,38.43
2021-01-01 19:00,2021-01-01 12:00,40.43,40.1,38.43
2021-01-01 20:00,2021-01-01 13:00,40.18,40.18,38.42
2021-01-01 21:00,2021-01-01 14:00,40.44,43.45,38.38
2021-01-01 22:00,2021-01-01 15:00,40.18,44.65,38.34
2021-01-01 23:00,2021-01-01 16:00,55.61,88.21,38.25
2021-01-02 00:00,2021-01-01 17:00,96.09,91.68,38.23
2021-01-02 01:00,2021-01-01 18:00,48.91,46.22,38.22
2021-01-02 02:00,2021-01-01 19:00,34.16,37.14,38.21
2021-01-02 03:00,2021-01-01 20:00,32.56,31.55,38.20
2021-01-02 04:00,2021-01-01 21:00,42.64,41.07,38.21
2021-01-02 05:00,2021-01-01 22:00,41.45,44.18,38.22
2021-01-02 06:00,2021-01-01 23:00,35.36,38.06,38.22
2021-01-02 07:00,2021-01-02 00:00,31.51,26.17,38.22
2021-01-02 08:00,2021-01-02 01:00,27.17,27.19,38.22
2021-01-02 09:00,2021-01-02 02:00,26.10,26.22,38.22
2021-01-02 10:00,2021-01-02 03:00,26.04,26.1,38.21
2021-01-02 11:00,2021-01-02 04:00,25.97,25.89,38.21
2021-01-02 12:00,2021-01-02 05:00,25.60,25.67,38.20
2021-01-02 13:00,2021-01-02 06:00,25.13,23.45,38.19
2021-01-02 14:00,2021-01-02 07:00,25.68,24.6,38.18
2021-01-02 15:00,2021-01-02 08:00,26.90,26.68,38.16
2021-01-02 16:00,2021-01-02 09:00,27.30,26.25,38.15
2021-01-02 17:00,2021-01-02 10:00,32.07,32.71,38.14
2021-01-02 18:00,2021-01-02 11:00,32.10,31.86,38.14
2021-01-02 19:00,2021-01-02 12:00,33.01,33.6,38.13
2021-01-02 20:00,2021-01-02 13:00,28.80,26.64,38.12
2021-01-02 21:00,2021-01-02 14:00,34.40,35.48,38.12
2021-01-02 22:00,2021-01-02 15:00,34.96,33.47,38.12
2021-01-02 23:00,2021-01-02 16:00,38.18,37.36,38.12
2021-01-03 00:00,2021-01-02 17:00,41.12,41.15,38.12
2021-01-03 01:00,2021-01-02 18:00,39.31,40.31,38.12
2021-01-03 02:00,2021-01-02 19:00,31.20,36.31,38.11
2021-01-03 03:00,2021-01-02 20:00,32.25,34.22,38.11
2021-01-03 04:00,2021-01-02 21:00,32.97,33.37,38.10
2021-01-03 05:00,2021-01-02 22:00,29.26,30.08,38.10
2021-01-03 06:00,2021-01-02 23:00,30.42,30.11,38.10
2021-01-03 07:00,2021-01-03 00:00,27.03,25.82,38.09
2021-01-03 08:00,2021-01-03 01:00,31.40,32.21,38.10
2021-01-03 09:00,2021-01-03 02:00,28.40,32.47,38.10
2021-01-03 10:00,2021-01-03 03:00,28.80,26.37,38.10
2021-01-03 11:00,2021-01-03 04:00,29.26,26.97,38.10
2021-01-03 12:00,2021-01-03 05:00,31.72,37.2,38.11
2021-01-03 13:00,2021-01-03 06:00,32.24,32.6,38.12
2021-01-03 14:00,2021-01-03 07:00,34.10,29.8,38.12
2021-01-03 15:00,2021-01-03 08:00,39.68,40.88,38.13
2021-01-03 16:00,2021-01-03 09:00,39.87,40.81,38.14
2021-01-03 17:00,2021-01-03 10:00,46.35,45.79,38.16
2021-01-03 18:00,2021-01-03 11:00,42.78,46.12,38.17
2021-01-03 19:00,2021-01-03 12:00,33.32,36.41,38.16
