Date - MST,Measure Names,Measure Values
12/1/2023 12:00:00 AM,Avg. Spark Spread,38.275806452
11/1/2023 12:00:00 AM,Avg. Spark Spread,74.759729167
10/1/2023 12:00:00 AM,Avg. Spark Spread,82.382311828
9/1/2023 12:00:00 AM,Avg. Spark Spread,93.261756944
8/1/2023 12:00:00 AM,Avg. Spark Spread,167.379008737
7/1/2023 12:00:00 AM,Avg. Spark Spread,136.717120296
6/1/2023 12:00:00 AM,Avg. Spark Spread,166.726965278
5/1/2023 12:00:00 AM,Avg. Spark Spread,134.987006048
4/1/2023 12:00:00 AM,Avg. Spark Spread,124.17215625
3/1/2023 12:00:00 AM,Avg. Spark Spread,152.008864247
2/1/2023 12:00:00 AM,Avg. Spark Spread,103.435505952
1/1/2023 12:00:00 AM,Avg. Spark Spread,99.052620968
12/1/2022 12:00:00 AM,Avg. Spark Spread,268.187513441
11/1/2022 12:00:00 AM,Avg. Spark Spread,144.145708333
10/1/2022 12:00:00 AM,Avg. Spark Spread,117.186807796
9/1/2022 12:00:00 AM,Avg. Spark Spread,234.924916667
8/1/2022 12:00:00 AM,Avg. Spark Spread,238.255416667
7/1/2022 12:00:00 AM,Avg. Spark Spread,102.614038978
6/1/2022 12:00:00 AM,Avg. Spark Spread,78.257888889
5/1/2022 12:00:00 AM,Avg. Spark Spread,67.715680444
4/1/2022 12:00:00 AM,Avg. Spark Spread,68.034991319
3/1/2022 12:00:00 AM,Avg. Spark Spread,39.056962366
2/1/2022 12:00:00 AM,Avg. Spark Spread,71.738720238
1/1/2022 12:00:00 AM,Avg. Spark Spread,59.242123656
12/1/2021 12:00:00 AM,Avg. Spark Spread,97.171276882
11/1/2021 12:00:00 AM,Avg. Spark Spread,65.7490625
10/1/2021 12:00:00 AM,Avg. Spark Spread,58.768319892
9/1/2021 12:00:00 AM,Avg. Spark Spread,69.115756944
8/1/2021 12:00:00 AM,Avg. Spark Spread,61.175430108
7/1/2021 12:00:00 AM,Avg. Spark Spread,96.189213710
6/1/2021 12:00:00 AM,Avg. Spark Spread,116.653708333
5/1/2021 12:00:00 AM,Avg. Spark Spread,63.357446237
4/1/2021 12:00:00 AM,Avg. Spark Spread,68.0643125
3/1/2021 12:00:00 AM,Avg. Spark Spread,47.496139113
2/1/2021 12:00:00 AM,Avg. Spark Spread,124.816636905
1/1/2021 12:00:00 AM,Avg. Spark Spread,53.221540323
12/1/2020 12:00:00 AM,Avg. Spark Spread,20.119282258
11/1/2020 12:00:00 AM,Avg. Spark Spread,18.280694444
10/1/2020 12:00:00 AM,Avg. Spark Spread,43.525107527
9/1/2020 12:00:00 AM,Avg. Spark Spread,19.499513889
8/1/2020 12:00:00 AM,Avg. Spark Spread,23.444818548
7/1/2020 12:00:00 AM,Avg. Spark Spread,39.918877688
6/1/2020 12:00:00 AM,Avg. Spark Spread,21.118416667
5/1/2020 12:00:00 AM,Avg. Spark Spread,11.481001344
4/1/2020 12:00:00 AM,Avg. Spark Spread,14.606722222
3/1/2020 12:00:00 AM,Avg. Spark Spread,28.202493280
2/1/2020 12:00:00 AM,Avg. Spark Spread,23.053304598
1/1/2020 12:00:00 AM,Avg. Spark Spread,104.331908602
12/1/2019 12:00:00 AM,Avg. Spark Spread,26.427096774
11/1/2019 12:00:00 AM,Avg. Spark Spread,36.458861111
10/1/2019 12:00:00 AM,Avg. Spark Spread,25.921995968
9/1/2019 12:00:00 AM,Avg. Spark Spread,49.912826389
8/1/2019 12:00:00 AM,Avg. Spark Spread,40.238958333
7/1/2019 12:00:00 AM,Avg. Spark Spread,30.899307796
6/1/2019 12:00:00 AM,Avg. Spark Spread,50.113197222
5/1/2019 12:00:00 AM,Avg. Spark Spread,59.877318548
4/1/2019 12:00:00 AM,Avg. Spark Spread,33.894465278
3/1/2019 12:00:00 AM,Avg. Spark Spread,46.619758065
2/1/2019 12:00:00 AM,Avg. Spark Spread,86.106279762
1/1/2019 12:00:00 AM,Avg. Spark Spread,24.345322581
12/1/2018 12:00:00 AM,Avg. Spark Spread,32.073723118
11/1/2018 12:00:00 AM,Avg. Spark Spread,48.032159722
10/1/2018 12:00:00 AM,Avg. Spark Spread,53.419422043
9/1/2018 12:00:00 AM,Avg. Spark Spread,25.226196528
8/1/2018 12:00:00 AM,Avg. Spark Spread,62.118746640
7/1/2018 12:00:00 AM,Avg. Spark Spread,49.311653226
6/1/2018 12:00:00 AM,Avg. Spark Spread,56.791256944
5/1/2018 12:00:00 AM,Avg. Spark Spread,55.251646505
4/1/2018 12:00:00 AM,Avg. Spark Spread,29.566486111
3/1/2018 12:00:00 AM,Avg. Spark Spread,17.503790323
2/1/2018 12:00:00 AM,Avg. Spark Spread,17.180535714
1/1/2018 12:00:00 AM,Avg. Spark Spread,25.851223118
12/1/2017 12:00:00 AM,Avg. Spark Spread,7.071142473
11/1/2017 12:00:00 AM,Avg. Spark Spread,8.623347222
10/1/2017 12:00:00 AM,Avg. Spark Spread,14.223467742
9/1/2017 12:00:00 AM,Avg. Spark Spread,15.241243056
8/1/2017 12:00:00 AM,Avg. Spark Spread,11.552110215
7/1/2017 12:00:00 AM,Avg. Spark Spread,15.140717406
6/1/2017 12:00:00 AM,Avg. Spark Spread,-1.059067708
5/1/2017 12:00:00 AM,Avg. Spark Spread,0.685216734
4/1/2017 12:00:00 AM,Avg. Spark Spread,-1.147657986
3/1/2017 12:00:00 AM,Avg. Spark Spread,2.304524530
2/1/2017 12:00:00 AM,Avg. Spark Spread,4.131904762
1/1/2017 12:00:00 AM,Avg. Spark Spread,3.212043011
12/1/2016 12:00:00 AM,Avg. Spark Spread,0.004529570
11/1/2016 12:00:00 AM,Avg. Spark Spread,-3.455298611
10/1/2016 12:00:00 AM,Avg. Spark Spread,3.148380376
9/1/2016 12:00:00 AM,Avg. Spark Spread,-1.25890625
8/1/2016 12:00:00 AM,Avg. Spark Spread,3.835263777
7/1/2016 12:00:00 AM,Avg. Spark Spread,1.228267809
6/1/2016 12:00:00 AM,Avg. Spark Spread,1.9350625
5/1/2016 12:00:00 AM,Avg. Spark Spread,7.134737903
4/1/2016 12:00:00 AM,Avg. Spark Spread,5.40375
3/1/2016 12:00:00 AM,Avg. Spark Spread,5.311932124
2/1/2016 12:00:00 AM,Avg. Spark Spread,4.432068966
1/1/2016 12:00:00 AM,Avg. Spark Spread,5.320174731
12/1/2015 12:00:00 AM,Avg. Spark Spread,4.483373656
11/1/2015 12:00:00 AM,Avg. Spark Spread,3.144083333
10/1/2015 12:00:00 AM,Avg. Spark Spread,3.011367608
9/1/2015 12:00:00 AM,Avg. Spark Spread,0.261052083
8/1/2015 12:00:00 AM,Avg. Spark Spread,13.094949597
7/1/2015 12:00:00 AM,Avg. Spark Spread,2.755460349
6/1/2015 12:00:00 AM,Avg. Spark Spread,78.637347222
5/1/2015 12:00:00 AM,Avg. Spark Spread,34.115967742
4/1/2015 12:00:00 AM,Avg. Spark Spread,2.316083333
3/1/2015 12:00:00 AM,Avg. Spark Spread,1.173447581
2/1/2015 12:00:00 AM,Avg. Spark Spread,13.037068452
1/1/2015 12:00:00 AM,Avg. Spark Spread,14.247876344
12/1/2023 12:00:00 AM,Avg. Gas Price,1.836129032
11/1/2023 12:00:00 AM,Avg. Gas Price,2.503125000
10/1/2023 12:00:00 AM,Avg. Gas Price,2.306155914
