begin_datetime_utc,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
2013-01-01 07:00,2013-01-01 00:00,18.31,18.03,58.74
2013-01-01 08:00,2013-01-01 01:00,19.15,20.6,58.74
2013-01-01 09:00,2013-01-01 02:00,17.47,20.65,58.75
2013-01-01 10:00,2013-01-01 03:00,11.31,10.92,58.75
2013-01-01 11:00,2013-01-01 04:00,10.84,10.89,58.74
2013-01-01 12:00,2013-01-01 05:00,10.43,10.89,58.70
2013-01-01 13:00,2013-01-01 06:00,10.31,10.72,58.64
2013-01-01 14:00,2013-01-01 07:00,10.88,11.36,58.62
2013-01-01 15:00,2013-01-01 08:00,10.88,10.9,58.59
2013-01-01 16:00,2013-01-01 09:00,10.87,10.83,58.56
2013-01-01 17:00,2013-01-01 10:00,10.87,10.85,58.51
2013-01-01 18:00,2013-01-01 11:00,10.88,10.9,58.45
2013-01-01 19:00,2013-01-01 12:00,10.90,10.9,58.40
2013-01-01 20:00,2013-01-01 13:00,10.91,10.91,58.37
2013-01-01 21:00,2013-01-01 14:00,10.94,12.5,58.33
2013-01-01 22:00,2013-01-01 15:00,12.80,12.68,58.30
2013-01-01 23:00,2013-01-01 16:00,18.20,16.54,58.09
2013-01-02 00:00,2013-01-01 17:00,32.48,35.21,57.96
2013-01-02 01:00,2013-01-01 18:00,31.69,31.47,57.95
2013-01-02 02:00,2013-01-01 19:00,26.29,25.87,57.96
2013-01-02 03:00,2013-01-01 20:00,24.65,22.64,57.96
2013-01-02 04:00,2013-01-01 21:00,21.74,21.73,57.95
2013-01-02 05:00,2013-01-01 22:00,13.49,13.62,57.94
2013-01-02 06:00,2013-01-01 23:00,13.10,12.52,57.94
2013-01-02 07:00,2013-01-02 00:00,12.61,11.27,57.93
2013-01-02 08:00,2013-01-02 01:00,13.92,14.43,57.94
2013-01-02 09:00,2013-01-02 02:00,14.30,13.16,57.94
2013-01-02 10:00,2013-01-02 03:00,13.78,10.94,57.93
2013-01-02 11:00,2013-01-02 04:00,20.12,19.49,57.93
2013-01-02 12:00,2013-01-02 05:00,21.28,20.57,57.93
