"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 00:00","2013","06","01","00:00","16.6","","12.0","","74","","","","17","","9","","16.1","","97.61","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 01:00","2013","06","01","01:00","16.5","","12.0","","74","","","","21","","5","","16.1","","97.57","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 02:00","2013","06","01","02:00","15.5","","12.3","","81","","","","16","","8","","16.1","","97.55","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 03:00","2013","06","01","03:00","14.7","","12.6","","87","","","","13","","8","","16.1","","97.56","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 04:00","2013","06","01","04:00","13.8","","12.4","","91","","","","9","","9","","16.1","","97.54","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 05:00","2013","06","01","05:00","12.9","","8.4","","74","","","","9","","11","","16.1","","97.53","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 06:00","2013","06","01","06:00","12.8","","9.0","","78","","","","11","","15","","16.1","","97.51","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 07:00","2013","06","01","07:00","12.8","","9.0","","77","","","","11","","13","","16.1","","97.53","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 08:00","2013","06","01","08:00","13.9","","8.6","","70","","","","11","","11","","16.1","","97.50","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 09:00","2013","06","01","09:00","14.1","","9.4","","73","","","","13","","13","","14.5","","97.48","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 10:00","2013","06","01","10:00","14.2","","12.4","","89","","","","10","","11","","11.3","","97.45","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 11:00","2013","06","01","11:00","17.2","","12.0","","71","","","","12","","15","","16.1","","97.45","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 12:00","2013","06","01","12:00","18.5","","12.5","","68","","","","10","","8","","16.1","","97.45","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 13:00","2013","06","01","13:00","19.8","","12.2","","61","","","","16","","8","","16.1","","97.43","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 14:00","2013","06","01","14:00","15.1","","11.6","","79","","","","10","","9","","16.1","","97.43","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 15:00","2013","06","01","15:00","18.3","","11.9","","66","","","","","M","4","","16.1","","97.40","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 16:00","2013","06","01","16:00","21.0","","10.9","","52","","","","23","","18","","16.1","","97.37","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 17:00","2013","06","01","17:00","20.8","","12.1","","57","","","","24","","17","","16.1","","97.35","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 18:00","2013","06","01","18:00","20.7","","11.3","","54","","","","25","","13","","16.1","","97.35","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 19:00","2013","06","01","19:00","17.9","","11.4","","65","","","","9","","8","","16.1","","97.34","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 20:00","2013","06","01","20:00","17.4","","11.2","","67","","","","","M","4","","16.1","","97.30","","","","","","NA"
"-111.22","56.65","FORT MCMURRAY A","3062697","2013-06-01 21:00","2013","06","01","21:00","16.6","","13.3","","81","","","","8","","4","","16.1","","97.31","","","","","","NA"
