"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 00:00","2016","12","01","00:00","-4.8","","-6.1","","91","","","","","","0","","6.4","","88.32","","","","","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 01:00","2016","12","01","01:00","-4.8","","-5.9","","92","","","","","","0","","6.4","","88.34","","","","","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 02:00","2016","12","01","02:00","-4.4","","-5.5","","92","","","","","","0","","3.2","","88.39","","","","","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 03:00","2016","12","01","03:00","-3.7","","-4.7","","93","","","","31","","5","","4.0","","88.40","","","","-6","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 04:00","2016","12","01","04:00","-3.5","","-4.8","","91","","","","22","","5","","4.8","","88.43","","","","-6","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 05:00","2016","12","01","05:00","-3.5","","-4.8","","91","","","","","","0","","4.8","","88.47","","","","","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 06:00","2016","12","01","06:00","-2.9","","-4.0","","92","","","","1","","8","","6.4","","88.50","","","","-6","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 07:00","2016","12","01","07:00","-3.1","","-4.5","","90","","","","1","","10","","6.4","","88.55","","","","-7","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 08:00","2016","12","01","08:00","-3.3","","-4.6","","91","","","","36","","11","","3.2","","88.59","","","","-8","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 09:00","2016","12","01","09:00","-3.0","","-4.4","","90","","","","34","","7","","3.2","","88.63","","","","-6","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 10:00","2016","12","01","10:00","-1.4","","-2.8","","90","","","","34","","4","","1.6","","88.68","","","","-3","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 11:00","2016","12","01","11:00","-0.8","","-1.9","","92","","","","34","","10","","1.6","","88.73","","","","-4","","Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 12:00","2016","12","01","12:00","-0.1","","-2.2","","86","","","","34","","16","","9.7","","88.75","","","","-5","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 13:00","2016","12","01","13:00","0.1","","-2.6","","82","","","","34","","30","","24.1","","88.79","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 14:00","2016","12","01","14:00","0.0","","-2.7","","82","","","","34","","21","","24.1","","88.82","","","","-5","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2016-12-01 15:00","2016","12","01","15:00","-0.1","","-2.8","","82","","","","34","","16","","24.1","","88.88","","","","-5","","NA"
