,Station Id,Station Name,Longitude (x),Latitude (y),Status
0,21001,,,,Bad Response
1,21002,,,,Bad Response
2,21003,,,,Bad Response
3,21004,,,,Bad Response
4,21005,,,,Bad Response
5,21006,,,,Bad Response
6,21007,,,,Bad Response
7,21008,,,,Bad Response
8,21009,,,,Bad Response
9,21010,,,,Bad Response
10,21011,,,,Bad Response
11,21012,,,,Bad Response
12,21013,,,,Bad Response
13,21014,,,,Bad Response
14,21015,,,,Bad Response
15,21016,,,,Bad Response
16,21017,,,,Bad Response
17,21018,,,,Bad Response
18,21019,,,,Bad Response
19,21020,,,,Bad Response
20,21021,,,,Bad Response
21,21022,,,,Bad Response
22,21023,,,,Bad Response
23,21024,,,,Bad Response
24,21025,,,,Bad Response
25,21026,,,,Bad Response
26,21027,,,,Bad Response
27,21028,,,,Bad Response
28,21029,,,,Bad Response
29,21030,,,,Bad Response
30,21031,,,,Bad Response
31,21032,,,,Bad Response
32,21033,,,,Bad Response
33,21034,,,,Bad Response
34,21035,,,,Bad Response
35,21036,,,,Bad Response
36,21037,,,,Bad Response
37,21038,,,,Bad Response
38,21039,,,,Bad Response
39,21040,,,,Bad Response
40,21041,,,,Bad Response
41,21042,,,,Bad Response
42,21043,,,,Bad Response
43,21044,,,,Bad Response
44,21045,,,,Bad Response
45,21046,,,,Bad Response
46,21047,,,,Bad Response
47,21048,,,,Bad Response
48,21049,,,,Bad Response
49,21050,,,,Bad Response
50,21051,,,,Bad Response
51,21052,,,,Bad Response
52,21053,,,,Bad Response
53,21054,,,,Bad Response
54,21055,,,,Bad Response
55,21056,,,,Bad Response
56,21057,,,,Bad Response
57,21058,,,,Bad Response
58,21059,,,,Bad Response
59,21060,,,,Bad Response
60,21061,,,,Bad Response
61,21062,,,,Bad Response
62,21063,,,,Bad Response
63,21064,,,,Bad Response
64,21065,,,,Bad Response
65,21066,,,,Bad Response
66,21067,,,,Bad Response
67,21068,,,,Bad Response
68,21069,,,,Bad Response
69,21070,,,,Bad Response
70,21071,,,,Bad Response
71,21072,,,,Bad Response
72,21073,,,,Bad Response
73,21074,,,,Bad Response
74,21075,,,,Bad Response
75,21076,,,,Bad Response
76,21077,,,,Bad Response
77,21078,,,,Bad Response
78,21079,,,,Bad Response
79,21080,,,,Bad Response
80,21081,,,,Bad Response
81,21082,,,,Bad Response
82,21083,,,,Bad Response
83,21084,,,,Bad Response
84,21085,,,,Bad Response
85,21086,,,,Bad Response
86,21087,,,,Bad Response
87,21088,,,,Bad Response
88,21089,,,,Bad Response
89,21090,,,,Bad Response
90,21091,,,,Bad Response
91,21092,,,,Bad Response
92,21093,,,,Bad Response
93,21094,,,,Bad Response
94,21095,,,,Bad Response
95,21096,,,,Bad Response
96,21097,,,,Bad Response
97,21098,,,,Bad Response
98,21099,,,,Bad Response
99,21100,,,,Bad Response
100,21101,,,,Bad Response
101,21102,,,,Bad Response
102,21103,,,,Bad Response
103,21104,,,,Bad Response
104,21105,,,,Bad Response
105,21106,,,,Bad Response
106,21107,,,,Bad Response
107,21108,,,,Bad Response
108,21109,,,,Bad Response
109,21110,,,,Bad Response
110,21111,,,,Bad Response
111,21112,,,,Bad Response
112,21113,,,,Bad Response
113,21114,,,,Bad Response
114,21115,,,,Bad Response
115,21116,,,,Bad Response
116,21117,,,,Bad Response
117,21118,,,,Bad Response
118,21119,,,,Bad Response
119,21120,,,,Bad Response
120,21121,,,,Bad Response
121,21122,,,,Bad Response
122,21123,,,,Bad Response
123,21124,,,,Bad Response
124,21125,,,,Bad Response
125,21126,,,,Bad Response
126,21127,,,,Bad Response
127,21128,,,,Bad Response
128,21129,,,,Bad Response
129,21130,,,,Bad Response
130,21131,,,,Bad Response
131,21132,,,,Bad Response
132,21133,,,,Bad Response
133,21134,,,,Bad Response
134,21135,,,,Bad Response
135,21136,,,,Bad Response
136,21137,,,,Bad Response
137,21138,,,,Bad Response
138,21139,,,,Bad Response
139,21140,,,,Bad Response
140,21141,,,,Bad Response
141,21142,,,,Bad Response
142,21143,,,,Bad Response
143,21144,,,,Bad Response
144,21145,,,,Bad Response
145,21146,,,,Bad Response
146,21147,,,,Bad Response
147,21148,,,,Bad Response
148,21149,,,,Bad Response
149,21150,,,,Bad Response
150,21151,,,,Bad Response
151,21152,,,,Bad Response
152,21153,,,,Bad Response
153,21154,,,,Bad Response
154,21155,,,,Bad Response
155,21156,,,,Bad Response
156,21157,,,,Bad Response
157,21158,,,,Bad Response
158,21159,,,,Bad Response
159,21160,,,,Bad Response
160,21161,,,,Bad Response
161,21162,,,,Bad Response
162,21163,,,,Bad Response
163,21164,,,,Bad Response
164,21165,,,,Bad Response
165,21166,,,,Bad Response
166,21167,,,,Bad Response
167,21168,,,,Bad Response
168,21169,,,,Bad Response
169,21170,,,,Bad Response
170,21171,,,,Bad Response
171,21172,,,,Bad Response
172,21173,,,,Bad Response
173,21174,,,,Bad Response
174,21175,,,,Bad Response
175,21176,,,,Bad Response
176,21177,,,,Bad Response
177,21178,,,,Bad Response
178,21179,,,,Bad Response
179,21180,,,,Bad Response
180,21181,,,,Bad Response
181,21182,,,,Bad Response
182,21183,,,,Bad Response
183,21184,,,,Bad Response
